spotify:track:2uEJanMvnA1dXgX1ASnPQm,0.417,0.665,192075.0,0.62,0.0,1.0,0.113,-5.43,1.0,0.035,91.008,4.0,0.451
spotify:track:3aazUPRslL7uysi1xjjYPv,0.0731,0.61,238333.0,0.756,1.32e-06,11.0,0.1,-6.567,1.0,0.0441,103.982,4.0,0.31
spotify:track:7vGuf3Y35N4wmASOKLUVVU,0.256,0.52,180823.0,0.761,4.96e-06,4.0,0.17,-3.093,1.0,0.0853,141.971,4.0,0.286
spotify:track:4AExn2roFJPUOfdUbSkkc5,0.033,0.619,223021.0,0.886,3.26e-06,7.0,0.154,-4.716,1.0,0.0998,105.978,4.0,0.442
spotify:track:5EBiM7gSN9peJYTwt6JOe1,0.063,0.558,192756.0,0.81,0.0,7.0,0.238,-6.251,0.0,0.0341,122.036,4.0,0.767
spotify:track:0ct6r3EGTcMLPtrXHDvVjc,0.0181,0.528,176658.0,0.852,0.0,6.0,0.242,-5.294,1.0,0.0435,126.012,4.0,0.647
spotify:track:3myI1o0izYfh2z9JTQzCfJ,0.00631,0.543,275387.0,0.73,0.0,1.0,0.213,-6.086,0.0,0.0384,150.187,4.0,0.267
spotify:track:7zNULH17aoNmazQLaIbDib,0.916,0.488,283934.0,0.159,1.69e-06,11.0,0.0908,-15.253,1.0,0.0426,74.313,4.0,0.2
spotify:track:6WF4hzdGXvXd1joERSXJjm,0.01,0.419,242253.0,0.773,0.00418,10.0,0.269,-6.187,1.0,0.0305,89.954,4.0,0.274
spotify:track:7qAWdfgvuDJQlhjppYtAfA,0.18,0.583,349538.0,0.47,0.207,1.0,0.142,-7.766,1.0,0.0648,149.844,4.0,0.42
spotify:track:2L7plRhGDguuuM9J1u5R7x,0.00512,0.41,241568.0,0.712,5.23e-05,7.0,0.164,-4.281,0.0,0.0392,140.093,4.0,0.166
spotify:track:3ZD3kjn80pQ9keYO8eqp9d,0.421,0.38,189333.0,0.553,2.63e-06,7.0,0.0788,-6.621,1.0,0.0653,179.629,4.0,0.384
spotify:track:01kXLqZPKVTRVxFcEmTXMD,0.157,0.446,255893.0,0.877,4.31e-06,9.0,0.0455,-3.734,1.0,0.0606,178.133,4.0,0.159
spotify:track:1RbmQY9DbIy0RqWFs04FOX,0.168,0.534,236440.0,0.646,4.74e-06,0.0,0.151,-7.533,1.0,0.0343,124.872,4.0,0.0562
spotify:track:6Ej6WtjqLbro72mF4Y1Xdb,0.693,0.578,172147.0,0.391,3.47e-06,0.0,0.11,-13.379,1.0,0.114,80.145,4.0,0.224
spotify:track:28UMEtwyUUy5u0UWOVHwiI,0.133,0.656,201680.0,0.33,0.000109,7.0,0.0664,-17.503,1.0,0.0372,113.845,4.0,0.519
spotify:track:1pKeFVVUOPjFsOABub0OaV,0.0373,0.65,226160.0,0.728,0.0,6.0,0.328,-5.914,0.0,0.232,159.167,4.0,0.619
spotify:track:2MWL9kMbAiv0zyahTzK4EN,0.0046,0.46,217427.0,0.88,0.0,4.0,0.112,-3.803,0.0,0.0838,109.828,3.0,0.225
spotify:track:2sNvitW3TxiTeC9xT9f2ZZ,0.408,0.486,273684.0,0.652,6.63e-05,11.0,0.077,-7.226,0.0,0.052,113.055,4.0,0.391
spotify:track:3WZFEgZDpbcPkhrRXFvL8K,0.114,0.691,210307.0,0.743,0.0,0.0,0.157,-5.396,1.0,0.0317,115.043,4.0,0.464
spotify:track:39P8VOo0DlQCb4n1g5b3Wp,0.413,0.595,177925.0,0.81,0.0,7.0,0.111,-3.665,1.0,0.0465,99.947,4.0,0.482
spotify:track:6L6ra9mTlyQPmh7zGw58y1,0.0509,0.662,214120.0,0.612,0.0,10.0,0.0948,-4.993,1.0,0.0311,113.95,4.0,0.177
spotify:track:1DJtIIV437oWmdBXFhadqz,0.0598,0.4,229053.0,0.48,2.01e-06,8.0,0.117,-7.758,0.0,0.0307,166.041,4.0,0.18
spotify:track:2DyOeiu42RDou7a8bAK7o0,0.0923,0.731,222733.0,0.293,0.009,8.0,0.121,-9.382,1.0,0.0336,137.924,4.0,0.221
spotify:track:5yVIlYEHZxQVLyInCdldoS,0.141,0.376,209440.0,0.696,0.0,0.0,0.11,-4.785,0.0,0.0949,169.515,4.0,0.303
spotify:track:457p7UH7hoHrbA2iI4PSCA,0.0138,0.499,206480.0,0.843,0.0,6.0,0.124,-2.224,1.0,0.113,127.932,4.0,0.533
spotify:track:4rwqrKdwlFWJ6LvPYaOtgn,0.102,0.44,258188.0,0.413,1.7e-05,0.0,0.103,-7.425,0.0,0.0446,131.659,4.0,0.123
spotify:track:1MAtUmZaUGsbS8hH335A0e,0.000872,0.512,221000.0,0.896,0.0,1.0,0.223,-3.744,0.0,0.0459,139.973,4.0,0.55
spotify:track:4cdv3CQkDVZzZOKm0kaaZu,0.559,0.416,172724.0,0.43,0.000244,0.0,0.11,-6.516,1.0,0.0408,84.406,4.0,0.177
spotify:track:5pRvd7BtQZ42S9zegc0nOa,0.681,0.284,236093.0,0.433,0.677,11.0,0.105,-7.73,1.0,0.0292,136.37,4.0,0.121
spotify:track:3cF6CU5hFPDmMRX0YUABZn,0.967,0.237,239507.0,0.358,0.87,10.0,0.108,-12.786,0.0,0.0396,87.114,4.0,0.1
spotify:track:78OvOmHB4HlYLHyyLNIhVW,0.00556,0.511,198473.0,0.775,0.0,8.0,0.103,-4.107,1.0,0.0304,138.084,4.0,0.393
spotify:track:3AJwUDP919kvQ9QcozQPxg,0.00239,0.429,266773.0,0.661,0.00013,11.0,0.234,-7.227,1.0,0.0281,173.365,4.0,0.285
spotify:track:21fq2CKL93mfnYHItpitxg,0.00216,0.555,241107.0,0.849,0.102,0.0,0.109,-7.412,1.0,0.0405,120.001,4.0,0.26
spotify:track:27SdWb2rFzO6GWiYDBTD9j,0.0472,0.628,211667.0,0.698,0.00143,6.0,0.0907,-5.608,0.0,0.105,89.976,4.0,0.732
spotify:track:69yfbpvmkIaB10msnKT7Q5,0.0386,0.499,276040.0,0.894,0.0,9.0,0.399,-3.887,1.0,0.267,139.865,4.0,0.26
spotify:track:1tLP9KYxSAv1sGz9UQpGPf,0.881,0.389,313627.0,0.415,2.29e-06,8.0,0.138,-5.77,1.0,0.0307,139.417,4.0,0.344
spotify:track:4h0zU3O9R5xzuTmNO7dNDU,0.965,0.71,275280.0,0.0565,0.0,7.0,0.0889,-15.099,1.0,0.0534,123.994,4.0,0.348
spotify:track:3cNjgVBKTJ1SvKhunrCdVy,0.0118,0.513,210580.0,0.768,1.94e-05,4.0,0.294,-4.868,0.0,0.0587,84.264,4.0,0.235
spotify:track:3PvzvltQZLIKk9YgoMP3Yq,0.0384,0.461,190160.0,0.717,6.25e-06,1.0,0.404,-5.109,1.0,0.0324,174.047,4.0,0.314
spotify:track:5Sf3GyLEAzJXxZ5mbCPXTu,0.00821,0.829,208133.0,0.51,0.0014,5.0,0.0829,-9.334,0.0,0.0369,119.993,4.0,0.45
spotify:track:6kpJQaauvfqJjR1eUxml0X,0.187,0.658,236743.0,0.832,0.0,6.0,0.0758,-5.94,0.0,0.0344,117.964,4.0,0.569
spotify:track:71URt38u1AjIgwhnQJRq6m,0.155,0.609,193068.0,0.852,1.04e-06,10.0,0.109,-6.172,1.0,0.0484,176.006,4.0,0.811
spotify:track:01DSvNTUsVROjnSF5j3UbD,0.00141,0.673,247907.0,0.629,0.0,2.0,0.0944,-7.072,1.0,0.0299,103.998,4.0,0.551
spotify:track:0SuLAslEMFZAXf0SwY7syi,0.0508,0.584,217603.0,0.569,0.0,0.0,0.0924,-4.259,1.0,0.166,89.779,4.0,0.501
spotify:track:2LbbLV26X7K1kLzI7xXFE2,0.224,0.643,234240.0,0.624,0.0,6.0,0.14,-5.437,0.0,0.0923,124.075,4.0,0.39
spotify:track:3XIIOCu6B8PuGq5j61asEM,0.0109,0.666,210893.0,0.723,0.00047,1.0,0.0507,-6.164,1.0,0.268,192.024,4.0,0.739
spotify:track:0tp2cUnCAcsR6xL5kw9HKu,0.0107,0.553,250453.0,0.725,0.0,1.0,0.0802,-4.741,1.0,0.0306,111.916,4.0,0.353
spotify:track:5qfZRNjt2TkHEL12r3sDEU,0.456,0.535,282693.0,0.445,0.0677,4.0,0.112,-9.155,1.0,0.0292,146.099,4.0,0.136
spotify:track:7oYOFL0Xblh30eClmakOLo,0.136,0.568,174196.0,0.721,0.0,1.0,0.0449,-6.193,1.0,0.0886,89.997,4.0,0.929
spotify:track:2YgoKJe61QXy6oINjJvrsx,0.0276,0.626,191520.0,0.739,0.0,7.0,0.106,-5.685,1.0,0.051,97.979,4.0,0.419
spotify:track:2LBhwMS0iYId8BWfNIiOuG,0.92,0.551,260840.0,0.289,0.00011,5.0,0.124,-9.83,1.0,0.0268,108.098,4.0,0.432
spotify:track:0tJGzJjUVlEsn8s3Mn32Jb,0.0179,0.737,189840.0,0.723,0.0,1.0,0.0675,-5.51,0.0,0.0295,120.003,4.0,0.893
